Номер_ДТП;Номер_ТС;Оставление_места;Привод;Тип_ТС;Год_выпуска;Марка_модель;Форма_собственности;Цвет;Места_повреждения;Технические_неисправности
930002158.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2020.0;Прочие марки мотоциклов Прочие марки мотоциклов;Физические лица;Коричневый;;Технические неисправности отсутствуют
930002156.0;1.0;Осталось на месте ДТП;С передним приводом;Прочие легковые автомобили;2002.0;NISSAN Прочие модели Nissan;Физические лица;Синий;;Технические неисправности отсутствуют
930002159.0;1.0;Осталось на месте ДТП;Полноприводные;Минивэны и универсалы повышенной вместимости;1993.0;УАЗ УАЗ 3151, 31512, 31514, 31519 и модификации;Физические лица;Зеленый;;Технические неисправности отсутствуют
930002148.0;1.0;Скрылось с места ДТП;;В-класс (малый) до 3,9 м;; ;;;;Технические неисправности отсутствуют
930002151.0;1.0;Осталось на месте ДТП;Полноприводные;Прочие легковые автомобили;2013.0;УАЗ 3962;Физические лица;Коричневый;;Технические неисправности отсутствуют
930002151.0;2.0;Осталось на месте ДТП;Полноприводные;Прочие легковые автомобили;2021.0;УАЗ 3741;Физические лица;Серый;;Технические неисправности отсутствуют
930002152.0;1.0;Скрылось с места ДТП;;В-класс (малый) до 3,9 м;; ;;;;Технические неисправности отсутствуют
930002144.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2003.0;TOYOTA Sienna;Физические лица;Серый;;Технические неисправности отсутствуют
930002144.0;2.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2022.0;Прочие марки мотоциклов Прочие марки мотоциклов;Физические лица;Синий;;Технические неисправности отсутствуют
930002142.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;1999.0;TOYOTA Corona;Физические лица;Белый;;Технические неисправности отсутствуют
930002142.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2013.0;ВАЗ Priora;Физические лица;Белый;;Технические неисправности отсутствуют
930002143.0;1.0;Осталось на месте ДТП;Полноприводные;Прочие легковые автомобили;2017.0;TOYOTA Hilux;Физические лица;Черный;;Технические неисправности отсутствуют
930002137.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2017.0;ВАЗ Priora;Физические лица;Белый;;Технические неисправности отсутствуют
930002132.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2024.0;Прочие марки ТС Прочие марки и модели ТС;Физические лица;Черный;;Технические неисправности отсутствуют
930002132.0;2.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2005.0;Прочие марки ТС Прочие марки и модели ТС;Физические лица;Серый;;Технические неисправности отсутствуют
930002127.0;1.0;Осталось на месте ДТП;С передним приводом;Е-класс (высший средний, бизнес-класс) до 4,9 м;2012.0;TOYOTA Camry;Физические лица;Белый;;Технические неисправности отсутствуют
930002133.0;1.0;Осталось на месте ДТП;С передним приводом;D-класс (средний) до 4,6 м;2002.0;TOYOTA Premio;Физические лица;Серый;;Технические неисправности отсутствуют
930002135.0;1.0;Осталось на месте ДТП;С передним приводом;Минивэны и универсалы повышенной вместимости;2004.0;TOYOTA Prius;Физические лица;Серый;;Технические неисправности отсутствуют
930002135.0;2.0;Осталось на месте ДТП;Иное расположение рулевого управления;Тракторы;1995.0;Прочие марки ТС Прочие марки и модели ТС;Физические лица;Синий;;Технические неисправности отсутствуют
930002128.0;1.0;Осталось на месте ДТП;Иное расположение рулевого управления;Мотоциклы;2018.0;Прочие марки мотоциклов Прочие марки мотоциклов;Физические лица;Желтый;;Технические неисправности отсутствуют
930002124.0;1.0;Осталось на месте ДТП;С передним приводом;С-класс (малый средний, компактный) до 4,3 м;2011.0;ВАЗ Priora;Физические лица;Белый;;Технические неисправности отсутствуют
